Year,App.,Taxon,Class,Order,Family,Genus,Importer,Exporter,Origin,Importer reported quantity,Exporter reported quantity,Term,Unit,Purpose,Source
2016,I,Aquila heliaca,Aves,Falconiformes,Accipitridae,Aquila,TR,NL,CZ,,1,bodies,,T,C
2016,I,Aquila heliaca,Aves,Falconiformes,Accipitridae,Aquila,XV,RS,RS,,1,bodies,,Q,O
2016,I,Haliaeetus albicilla,Aves,Falconiformes,Accipitridae,Haliaeetus,BE,NO,,,43,feathers,,S,W
2016,I,Haliaeetus albicilla,Aves,Falconiformes,Accipitridae,Haliaeetus,BE,NO,,,43,specimens,,S,W
2016,I,Haliaeetus albicilla,Aves,Falconiformes,Accipitridae,Haliaeetus,DK,IS,,700,,specimens,,S,W
2016,I,Haliaeetus albicilla,Aves,Falconiformes,Accipitridae,Haliaeetus,XV,RS,RS,,1,bodies,,Q,O
2016,I,Harpia harpyja,Aves,Falconiformes,Accipitridae,Harpia,BR,FR,,,12,feathers,,S,C
2016,I,Harpia harpyja,Aves,Falconiformes,Accipitridae,Harpia,BR,FR,,,4,feathers,,S,U
2016,I,Harpia harpyja,Aves,Falconiformes,Accipitridae,Harpia,BR,FR,,,2,feathers,,S,W
2016,I,Acipenser brevirostrum,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,CH,DE,,,4,live,,T,C
2016,I,Acipenser sturio,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,US,IR,,100,,caviar,g,P,I
2016,I,Ailurus fulgens,Mammalia,Carnivora,Ailuridae,Ailurus,AU,NZ,,,2,live,,Z,C
2016,I,Ailurus fulgens,Mammalia,Carnivora,Ailuridae,Ailurus,CA,US,,,1,live,,Z,F
2016,I,Ailurus fulgens,Mammalia,Carnivora,Ailuridae,Ailurus,IL,DE,,,2,live,,Z,C
2016,I,Ailurus fulgens,Mammalia,Carnivora,Ailuridae,Ailurus,JP,US,,1,,live,,B,C
2016,I,Ailurus fulgens,Mammalia,Carnivora,Ailuridae,Ailurus,JP,US,,,1,live,,Z,C
2016,I,Ailurus fulgens,Mammalia,Carnivora,Ailuridae,Ailurus,KP,CN,,,1,bodies,,E,U
2016,I,Ailurus fulgens,Mammalia,Carnivora,Ailuridae,Ailurus,KR,CN,,,1,specimens,,E,C
2016,I,Ailurus fulgens,Mammalia,Carnivora,Ailuridae,Ailurus,KR,JP,,,1,live,,Z,C
2016,I,Ailurus fulgens,Mammalia,Carnivora,Ailuridae,Ailurus,US,CA,,5,,live,,Z,C
2016,I,Alligator sinensis,Reptilia,Crocodylia,Alligatoridae,Alligator,KP,CN,,,1,bodies,,E,U
2016,I,Melanosuchus niger,Reptilia,Crocodylia,Alligatoridae,Melanosuchus,US,DK,,10,,live,,Z,F
2016,I,Anas laysanensis,Aves,Anseriformes,Anatidae,Anas,CA,US,XX,,3,feathers,,S,I
