Scientific Name,Common Name,Status
Scientific Name,Common Name,Status
Addax nasomaculatus,Addax,Endangered
Bubalus depressicornis,"Anoa, lowland",Endangered
Bubalus quarlesi,"Anoa, mountain",Endangered
Hippotragus niger variani,"Antelope, giant sable",Endangered
Panthalops hodgsonii,"Antelope, Tibetan",Endangered
Ovis ammon,"Argali [All populations except Kyrgyzstan, Mongolia, and Tajikistan]",Endangered
Ovis ammon,"Argali [Kyrgyzstan, Mongolia, and Tajikistan]",Threatened
Priodontes maximus,"Armadillo, giant",Endangered
Chlamyphorus truncatus,"Armadillo, pink fairy",Endangered
Equus africanus,"Ass, African wild",Endangered
Equus hemionus,"Ass, Asian wild",Endangered
Avahi laniger(=entire genus),Avahi,Endangered
Daubentonia madagascariensis,Aye-aye,Endangered
Babyrousa babyrussa,Babirusa,Endangered
Theropithecus gelada,"Baboon, gelada",Threatened
Perameles bougainville,"Bandicoot, barred",Endangered
Perameles eremiana,"Bandicoot, desert",Endangered
Macrotis leucura,"Bandicoot, lesser rabbit",Endangered
Chaeropus ecaudatus,"Bandicoot, pig-footed",Endangered
Macrotis lagotis,"Bandicoot, rabbit",Endangered
Bos javanicus,Banteng,Endangered
Aproteles bulmerae,"Bat, Bulmer's fruit (flying fox)",Endangered
Craseonycteris thonglongyai,"Bat, bumblebee",Endangered
Eumops floridanus,"Bat, Florida bonneted",Endangered
Myotis grisescens,"Bat, gray",Endangered
Lasiurus cinereus semotus,"Bat, Hawaiian hoary",Endangered
Myotis sodalis,"Bat, Indiana",Endangered
Pteropus tokudae,"Bat, little Mariana fruit",Endangered
Pteropus mariannus mariannus,"Fruit Bat, Mariana (=fanihi, Mariana flying fox)",Threatened
Leptonycteris nivalis,"Bat, Mexican long-nosed",Endangered
Myotis septentrionalis,"Bat, northern long-eared",Threatened
Corynorhinus (=Plecotus) townsendii ingens,"Bat, Ozark big-eared",Endangered
Emballonura semicaudata rotensis,"Bat, Pacific sheath-tailed (Mariana subspecies) (Payeyi, Paischeey)",Endangered
Emballonura semicaudata semicaudata,"Bat, Pacific sheath-tailed (South Pacific subspecies) (= peapea vai, American Samoa; = tagiti, Samoa; = beka beka, Fiji)",Endangered
Pteropus rodricensis,"Bat, Rodrigues fruit (flying fox)",Endangered
Hipposideros ridleyi,"Bat, Singapore roundleaf horseshoe",Endangered
Corynorhinus (=Plecotus) townsendii virginianus,"Bat, Virginia big-eared",Endangered
Ursus thibetanus gedrosianus,"Bear, Baluchistan",Endangered
Ursus arctos arctos,"Bear, brown [Italy]",Endangered
Ursus arctos pruinosus,"Bear, brown",Endangered
Ursus arctos horribilis,"Bear, grizzly",Threatened
Ursus arctos horribilis,"Bear, grizzly",XN
Ursus arctos,"Bear, Mexican grizzly",Endangered
Ursus maritimus,"Bear, polar",Threatened
Castor fiber birulai,Beaver (Mongolia),Endangered
Bison bison athabascae,"Bison, wood",Threatened
Bison bison athabascae,"Bison, wood",XN
Lynx (=Felis) rufus escuinapae,"Bobcat, Mexican",Endangered
Damaliscus pygarus (=dorcas) dorcas,Bontebok (antelope),Endangered
Camelus bactrianus,"Camel, Bactrian",Endangered
Rangifer tarandus caribou,"Caribou, woodland [Southern Selkirk Mountains DPS]",Endangered
Felis jacobita,"Cat, Andean",Endangered
Catopuma (=Felis) temminckii,"Cat, Asian golden (=Temminck's)",Endangered
Felis nigripes,"Cat, black-footed",Endangered
Prionailurus (=Felis) planiceps,"Cat, flat-headed",Endangered
Prionailurus (=Felis) bengalensis iriomotensis,"Cat, Iriomote",Endangered
Prionailurus (=Felis) bengalensis bengalensis,"Cat, leopard",Endangered
Pardofelis (=Felis) marmorata,"Cat, marbled",Endangered
Felis margarita scheffeli,"Cat, Pakistan sand",Endangered
Leopardus (=Felis) tigrinus,"Cat, tiger",Endangered
Rupicapra rupicapra ornata,"Chamois, Apennine",Endangered
Acinonyx jubatus,Cheetah,Endangered
Pan troglodytes,Chimpanzee,Endangered
Pan paniscus,"Chimpanzee, pygmy",Endangered
Chinchilla brevicaudata boliviana,Chinchilla,Endangered
Viverra civettina (=megaspila c.),"Civet, Malabar large-spotted",Endangered
Cervus elaphus bactrianus,"Deer, Bactrian",Endangered
Cervus elaphus barbarus,"Deer, Barbary",Endangered
Axis porcinus calamianensis,"Deer, Calamianes (=Philippine)",Endangered
Odocoileus hemionus cedrosensis,"Deer, Cedros Island mule",Endangered
Odocoileus virginianus leucurus,"Deer, Columbian white-tailed [Columbia River DPS]",Threatened
Cervus elaphus corsicanus,"Deer, Corsican red",Endangered
Cervus eldi,"Deer, Eld's brow-antlered",Endangered
Cervus nippon taiouanus,"Deer, Formosan sika",Endangered
Axis (=Cervus) porcinus annamiticus,"Deer, Indochina hog",Endangered
Odocoileus virginianus clavium,"Deer, key",Endangered
Axis porcinus kuhli,"Deer, Kuhl's (=Bawean)",Endangered
Blastocerus dichotomus,"Deer, marsh",Endangered
Cervus elaphus macneilii,"Deer, McNeill's",Endangered
Moschus spp. (all species),"Deer, musk",Endangered
Cervus nippon mandarinus,"Deer, North China sika",Endangered
Ozotoceros bezoarticus,"Deer, pampas",Endangered
Dama mesopotamica (=dama m.),"Deer, Persian fallow",Endangered
Cervus nippon keramae,"Deer, Ryukyu sika",Endangered
Cervus nippon grassianus,"Deer, Shansi sika",Endangered
Cervus nippon kopschi,"Deer, South China sika",Endangered
Cervus duvauceli,"Deer, swamp",Endangered
Cervus alfredi,"Deer, Visayan",Endangered
Cervus elaphus yarkandensis,"Deer, Yarkand",Endangered
Cuon alpinus,Dhole,Endangered
Antechinus apicalis,Dibbler,Endangered
Lycaon pictus,"Dog, African wild",Endangered
Lipotes vexillifer,"Dolphin, Chinese river",Endangered
Platanista gangetica minor,"Dolphin, South Asian River (Indus River subspecies)",Endangered
Cephalorhynchus hectori hectori,"Dolphin, South Island Hector's",Endangered
Cephalorhynchus hectori maui,"Dolphin, Maui",Endangered
Mandrillus (=Papio) leucophaeus,Drill,Endangered
Dugong dugon,Dugong,Endangered
Cephalophus jentinki,"Duiker, Jentink's",Endangered
Taurotragus derbianus derbianus,"Eland, western giant",Endangered
Loxodonta africana,"Elephant, African",Threatened
Elephas maximus,"Elephant, Asian",Endangered
Mustela nigripes,"Ferret, black-footed",Endangered
Mustela nigripes,"Ferret, black-footed",XN
Vulpes velox hebes,"Fox, northern swift",Endangered
Vulpes macrotis mutica,"Fox, San Joaquin kit",Endangered
Urocyon littoralis catalinae,"Fox, Santa Catalina Island",Threatened
Canis simensis,"Fox, Simien",Endangered
Gazella gazella,"Gazelle, Arabian",Endangered
Ammodorcas clarkei,"Gazelle, Clark's",Endangered
Gazella dama,"Gazelle, dama",Endangered
Gazella dama mhorr,"Gazelle, Mhorr",Endangered
Gazella dorcas massaesyla,"Gazelle, Moroccan",Endangered
Gazella cuvieri,"Gazelle, mountain (=Cuvier's)",Endangered
Gazella dama lozanoi,"Gazelle, Rio de Oro Dama",Endangered
Gazella dorcas pelzelni,"Gazelle, Pelzeln's",Endangered
Gazella subgutturosa marica,"Gazelle, sand",Endangered
Gazella dorcas saudiya,"Gazelle, Saudi Arabian",Endangered
Gazella leptoceros,"Gazelle, slender-horned",Endangered
Hylobates spp. (including Nomascus ),Gibbons,Endangered
Nemorhedus goral,Goral,Endangered
Gorilla gorilla,Gorilla,Endangered
Caprolagus hispidus,"Hare, hispid",Endangered
Alcelaphus buselaphus swaynei,"Hartebeest, Swayne's",Endangered
Alcelaphus buselaphus tora,"Hartebeest, Tora",Endangered
Sus salvanius,"Hog, pygmy",Endangered
Equus przewalskii,"Horse, Przewalski's",Endangered
Hippocamelus antisensis,"Huemul, north Andean",Endangered
Hippocamelus bisulcus,"Huemul, south Andean",Endangered
Capromys angelcabrerai,"Hutia, Cabrera's",Endangered
Capromys nana,"Hutia, dwarf",Endangered
Capromys auritus,"Hutia, large-eared",Endangered
Capromys sanfelipensis,"Hutia, little earth",Endangered
Hyaena hyaena barbara,"Hyena, Barbary",Endangered
Parahyaena (=Hyaena) brunnea,"Hyena, brown",Endangered
Capra pyrenaica pyrenaica,"Ibex, Pyrenean",Endangered
Capra walie,"Ibex, Walia",Endangered
Aepyceros melampus petersi,"Impala, black-faced",Endangered
Indri indri(=entire genus),Indri,Endangered
Panthera onca,Jaguar,Endangered
Herpailurus (=Felis) yagouaroundi fossata,"Jaguarundi, Guatemalan",Endangered
Herpailurus (=Felis) yagouaroundi cacomitli,"Jaguarundi, Gulf Coast",Endangered
Herpailurus (=Felis) yagouaroundi panamensis,"Jaguarundi, Panamanian",Endangered
Herpailurus (=Felis) yagouaroundi tolteca,"Jaguarundi, Sinaloan",Endangered
Dipodomys nitratoides exilis,"Kangaroo rat, Fresno",Endangered
Dipodomys ingens,"Kangaroo rat, giant",Endangered
Dipodomys heermanni morroensis,"Kangaroo rat, Morro Bay",Endangered
Dipodomys merriami parvus,"Kangaroo rat, San Bernardino Merriam's",Endangered
Dipodomys stephensi (incl. D. cascus),"Kangaroo rat, Stephens'",Endangered
Dipodomys nitratoides nitratoides,"Kangaroo rat, Tipton",Endangered
Macropus giganteus tasmaniensis,"Kangaroo, Tasmanian forester",Endangered
Phascolarctos cinereus,Koala,Threatened
Bos sauveli,Kouprey,Endangered
Trachypithecus (=Presbytis) pileatus,"Langur, capped",Endangered
Pygathrix nemaeus,"Langur, Douc",Endangered
Trachypithecus (=Presbytis) francoisi,"Langur, Francois'",Endangered
Trachypithecus (=Presbytis) geei,"Langur, golden",Endangered
Semnopithecus (=Presbytis) entellus,"Langur, gray (=entellus)",Endangered
Presbytis potenziani,"Langur, long-tailed",Threatened
Nasalis concolor,"Langur, Pagi Island",Endangered
Presbytis senex,"Langur, purple-faced",Threatened
Kobus leche,"Lechwe, red",Threatened
"Lemuridae (incl. genera Lemur, Phaner, Hapalemur, Lepilemur, Microcebus, Allocebus, Cheirogaleus, Varecia )",Lemurs,Endangered
Panthera pardus,Leopard,Endangered
Panthera pardus,Leopard [Southern Africa populations],Threatened
Neofelis nebulosa,"Leopard, clouded",Endangered
Uncia (=Panthera) uncia,"Leopard, snow",Endangered
Prionodon pardicolor,"Linsang, spotted",Endangered
Panthera leo leo,Lion,Endangered
Panthera leo melanochaita,Lion,Threatened
Nycticebus pygmaeus,"Loris, lesser slow",Threatened
Lynx canadensis,"Lynx, Canada [Contiguous U.S. DPS]",Threatened
Felis pardina,"Lynx, Spanish",Endangered
Macaca cyclopis,"Macaque, Formosan rock",Threatened
Macaca fuscata,"Macaque, Japanese",Threatened
Macaca silenus,"Macaque, lion-tailed",Endangered
Macaca arctoides,"Macaque, stump-tailed",Threatened
Macaca sinica,"Macaque, Toque",Threatened
Trichechus inunguis,"Manatee, Amazonian",Endangered
Trichechus senegalensis,"Manatee, West African",Threatened
Trichechus manatus,"Manatee, West Indian",Threatened
Mandrillus (=Papio) sphinx,Mandrill,Endangered
Cercocebus galeritus galeritus,"Mangabey, Tana River",Endangered
Cercocebus torquatus,"Mangabey, white-collared",Endangered
Leopardus (=Felis) wiedii,Margay,Endangered
Capra falconeri (=aegagrus) chiltanensis,"Markhor, chiltan (=wild goat)",Endangered
Capra falconeri megaceros,"Markhor, straight-horned",Threatened
Callithrix flaviceps,"Marmoset, buff-headed",Endangered
Saguinus oedipus,"Marmoset, cotton-top",Endangered
Callimico goeldii,"Marmoset, Goeldi's",Endangered
Callithrix aurita (=jacchus a.),"Marmoset, white-eared (=buffy tufted-ear)",Endangered
Marmota vancouverensis,"Marmot, Vancouver Island",Endangered
Antechinomys laniger,"Marsupial, eastern jerboa",Endangered
Sminthopsis psammophila,"Marsupial-mouse, large desert",Endangered
Sminthopsis longicaudata,"Marsupial-mouse, long-tailed",Endangered
Martes flavigula chrysospila,"Marten, Formosan yellow-throated",Endangered
