,Scientific Name,Common Name,Species Code,Population Code,Lead Region,Federal Listing Status,Where Listed
0,Abies guatemalensis,Guatemalan Fir (=pinabete),R003,P01,Foreign,Threatened,Wherever found
1,Abronia macrocarpa,Large-fruited sand-verbena,Q24E,P01,2,Endangered,Wherever found
2,Abutilon eremitopetalum,No common name,Q1SJ,P01,1,Endangered,Wherever found
3,Abutilon menziesii,Ko`oloa`ula,Q1SK,P01,1,Endangered,Wherever found
4,Abutilon sandwicense,No common name,Q1SL,P01,1,Endangered,Wherever found
5,Acaena exigua,Liliwai,Q1SM,P01,1,Endangered,Wherever found
6,Acanthomintha ilicifolia,San Diego thornmint,Q00E,P01,8,Threatened,Wherever found
7,Acanthomintha obovata ssp. duttonii,San Mateo thornmint,Q24H,P01,8,Endangered,Wherever found
8,Acanthorutilus handlirschi,Cicek (minnow),E00N,V01,Foreign,Endangered,Wherever found
9,Accipiter fasciatus natalis,Christmas Island goshawk,B01N,V01,Foreign,Endangered,Wherever found
10,Accipiter francesii pusillus,Anjouan Island sparrowhawk,B03A,V01,Foreign,Endangered,Wherever found
11,Accipiter gentilis laingi,Queen Charlotte goshawk,B0AE,V02,Foreign,Threatened,"British Columbia, Canada"
12,Accipiter striatus venator,Puerto Rican sharp-shinned hawk,B06Z,V01,4,Endangered,Wherever found
13,Achatinella spp.,Oahu tree snails,G01J,I01,1,Endangered,Wherever found
14,Achyranthes mutica,No common name,Q00G,P01,1,Endangered,Wherever found
15,Achyranthes splendens var. rotundata,Round-leaved chaff-flower,Q24I,P01,1,Endangered,Wherever found
16,Acinonyx jubatus,Cheetah,A00S,V01,Foreign,Endangered,Wherever found
17,Acipenser brevirostrum,Shortnose sturgeon,E00B,V01,NMFS,Endangered,Wherever found
18,Acipenser medirostris,green sturgeon,E09K,V01,NMFS,Threatened,Southern DPS - See 50 CFR 223.102
19,Acipenser mikadoi,Sakhalin sturgeon,E0D5,V01,NMFS,Endangered,Wherever found
20,Acipenser naccarii,Adriatic sturgeon,E0CH,V01,NMFS,Endangered,Wherever found
